symbol,name
Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Category
AIHS,Senmiao Technology Limited,Senmiao Technology Limited - Common Stock,S,N,N,100.0,N,N,NASDAQ
AIMD,"Ainos, Inc.","Ainos, Inc. - Common Stock",S,N,D,100.0,N,N,NASDAQ
AIMDW,"Ainos, Inc.","Ainos, Inc. - warrants",S,N,N,100.0,N,N,NASDAQ
AIOT,"PowerFleet, Inc.","PowerFleet, Inc. - Common Stock",G,N,N,100.0,N,N,NASDAQ
AIP,"Arteris, Inc. ","Arteris, Inc.  - Common Stock",G,N,N,100.0,N,N,NASDAQ
AIPI,REX AI Equity Premium Income ETF,REX AI Equity Premium Income ETF,G,N,N,100.0,Y,N,NASDAQ
AIQ,Global X Artificial Intelligence & Technology ETF,Global X Artificial Intelligence & Technology ETF,G,N,N,100.0,Y,N,NASDAQ
AIRE,reAlpha Tech Corp.,reAlpha Tech Corp. - Common Stock,S,N,D,100.0,N,N,NASDAQ
AIRG,"Airgain, Inc.","Airgain, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
AIRJ,AirJoule Technologies Corporation,AirJoule Technologies Corporation - Class A Common Stock,S,N,N,100.0,N,N,NASDAQ
AIRJW,AirJoule Technologies Corporation,AirJoule Technologies Corporation - Warrant,S,N,N,100.0,N,N,NASDAQ
AIRL,Themes Airlines ETF,Themes Airlines ETF,G,N,N,100.0,Y,N,NASDAQ
AIRO,"AIRO Group Holdings, Inc.","AIRO Group Holdings, Inc. - Common Stock",G,N,N,100.0,N,N,NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,First Trust RBA American Industrial Renaissance ETF,G,N,N,100.0,Y,N,NASDAQ
AIRS,"AirSculpt Technologies, Inc.","AirSculpt Technologies, Inc. - Common Stock",G,N,N,100.0,N,N,NASDAQ
AIRT,"Air T, Inc.","Air T, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
AIRTP,"Air T, Inc.","Air T, Inc. - Trust Preferred Securities",G,N,N,100.0,N,N,NASDAQ
AISP,"Airship AI Holdings, Inc","Airship AI Holdings, Inc - Class A Common Stock",G,N,N,100.0,N,N,NASDAQ
AISPW,"Airship AI Holdings, Inc","Airship AI Holdings, Inc - Warrants",S,N,N,100.0,N,N,NASDAQ
AIXI,XIAO-I Corporation,XIAO-I Corporation - American Depositary Shares,G,N,N,100.0,N,N,NASDAQ
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AKAN,Akanda Corp.,Akanda Corp. - Common Shares,S,N,N,100.0,N,N,NASDAQ
AKBA,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
AKRO,"Akero Therapeutics, Inc.","Akero Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
